people_id,name,party,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid
16467,Stephen Knight,R,Rep,HD-CA-25,13008615,71098,N00035820,Stephen_Knight,267746
16468,Barry Loudermilk,R,Rep,HD-GA-11,12999116,31618,N00035347,Barry_Loudermilk,228409
16469,Mia Love,R,Rep,HD-UT-4,17658514,135957,N00033842,Mia_Love,392417
16470,Thomas MacArthur,R,Rep,HD-NJ-3,196708,152113,N00036155,Tom_MacArthur,489167
16471,John Moolenaar,R,Rep,HD-MI-4,609969,37676,N00036275,John_Moolenaar,212920
16472,Alexander Mooney,R,Rep,HD-WV-2,1280122,19114,N00033814,Alexander_Mooney,195200
16473,Dan Newhouse,R,Rep,HD-WA-4,2971537,51522,N00036403,Dan_Newhouse,211847
16474,Bruce Poliquin,R,Rep,HD-ME-2,6680655,120909,N00034584,Bruce_Poliquin,332312
16475,John Ratcliffe,R,Rep,HD-TX-4,18661779,147381,N00035972,John_Ratcliffe,478372
16476,David Rouzer,R,Rep,HD-NC-7,5876933,102964,N00033527,David_Rouzer,164497
16477,Elise Stefanik,R,Rep,HD-NY-21,21236694,152539,N00035523,Elise_Stefanik,247560
16478,David Trott,R,Rep,HD-MI-11,14515774,152477,N00035607,David_Trott,468215
16479,Mimi Walters,R,Rep,HD-CA-45,13008846,29346,N00035391,Mimi_Walters,226571
16480,Bruce Westerman,R,Rep,HD-AR-4,6682617,119120,N00035527,Bruce_Westerman,290802
16481,David Young,R,Rep,HD-IA-3,6056851,155218,N00035509,David_Young_(Iowa),236278
16482,Lee Zeldin,R,Rep,HD-NY-1,6684704,110252,N00029404,Lee_Zeldin,267328
16483,Ryan Zinke,R,Rep,HD-MT,6675530,104073,N00035616,Ryan_Zinke,271177
16485,Bonnie Coleman,D,Rep,HD-NJ-12,6389632,24799,N00036158,Bonnie_Watson_Coleman,362925
16487,Brendan Boyle,D,Rep,HD-PA-13,13006066,47357,N00035307,Brendan_Boyle,269627
16488,Don Beyer,D,Rep,HD-VA-8,1579842,1707,N00036018,Don_Beyer,487540
16490,Gary Palmer,R,Rep,HD-AL-6,22027757,146274,N00035691,Gary_Palmer,475776
16491,Kathleen Rice,D,Rep,HD-NY-4,6510977,127653,N00035927,Kathleen_Rice,489426
16492,Mark DeSaulnier,D,Rep,HD-CA-11,24686,69477,N00030709,Mark_DeSaulnier,248434
16494,Mark Walker,R,Rep,HD-NC-6,17046217,146255,N00035311,Mark_Walker_(North_Carolina),462217
16495,Norma Torres,D,Rep,HD-CA-35,6485739,71284,N00036107,Norma_Torres,267783
16496,Pete Aguilar,D,Rep,HD-CA-31,17657748,70114,N00033997,Pete_Aguilar,397292
16497,Ruben Gallego,D,Rep,HD-AZ-7,6507394,123732,N00036097,Ruben_Gallego,293802
16498,Seth Moulton,D,Rep,HD-MA-6,25004670,146299,N00035431,Seth_Moulton,464944
16499,Steve Russell,R,Rep,HD-OK-5,8743054,106528,N00036175,Steve_Russell,271940
16500,Ted Lieu,D,Rep,HD-CA-33,2451821,1516,N00035825,Ted_Lieu,240581
16501,Ralph Abraham,R,Rep,HD-LA-5,26395824,155414,N00036633,Ralph_Abraham,500558
16502,Debbie Dingell,D,Rep,HD-MI-12,252193,152482,N00036149,Debbie_Dingell,357079
16503,Garret Graves,R,Rep,HD-LA-6,26395838,155424,N00036135,Garret_Graves,160828
16504,Brenda Lawrence,D,Rep,HD-MI-14,301691,78851,N00034068,Brenda_Lawrence_(Michigan),391655
16505,Martha McSally,R,Rep,SD-AZ,17657675,137299,N00033982,Martha_McSally,401802
16519,Joni Ernst,R,Sen,SD-IA,6151700,128583,N00035483,Joni_Ernst,328986
16520,David Perdue,R,Sen,SD-GA,12377537,151330,N00035516,David_Perdue,474720
16521,Mike Rounds,R,Sen,SD-SD,6580808,7455,N00035187,Mike_Rounds,198882
16522,Ben Sasse,R,Sen,SD-NE,23353806,150182,N00035544,Ben_Sasse,229398
16523,Dan Sullivan,R,Sen,SD-AK,39833727,114964,N00035774,Daniel_S._Sullivan,328336
16524,Thom Tillis,R,Sen,SD-NC,5942566,57717,N00035492,Thom_Tillis_(North_Carolina),250143
16824,Stacey Plaskett,D,Rep,HD-VI,0,155929,N00035000,Stacey_Plaskett,439826
17510,Amata Radewagen,D,Rep,HD-AS,0,128380,N00007635,Aumua_Amata_Radewagen,439739
17698,Daniel Donovan,R,Rep,HD-NY-11,5036479,126127,N00036928,Daniel_Donovan_(New_York),535544
17704,Trent Kelly,R,Rep,HD-MS-1,29268676,156389,N00037003,Trent_Kelly,536266
17717,Darin LaHood,R,Rep,HD-IL-18,2782492,128760,N00037031,Darin_LaHood,333096
17958,Warren Davidson,R,Rep,HD-OH-8,2882234,166760,N00038767,Warren_Davidson,565476
17980,James Comer,R,Rep,HD-KY-1,13000729,35169,N00038260,James_Comer_Jr.,205575
17981,Dwight Evans,D,Rep,HD-PA-2,13006152,9128,N00038450,Dwight_Evans,198425
18286,Jody Arrington,R,Rep,HD-TX-19,26357872,155685,N00038285,Jodey_Arrington,555820
18287,Don Bacon,R,Rep,HD-NE-2,32158683,166299,N00037049,Don_Bacon,346086
18288,Jim Banks,R,Rep,HD-IN-3,2949733,116801,N00037185,Jim_Banks_(Indiana),291462
18289,Nanette Barragan,D,Rep,HD-CA-44,39707282,166270,N00037019,Nanette_Barrag%C3%A1n,536062
18290,Jack Bergman,R,Rep,HD-MI-1,39849758,170172,N00039533,Jack_Bergman,577460
18291,Andy Biggs,R,Rep,HD-AZ-5,6602301,28088,N00039293,Andy_Biggs,212155
18292,Lisa Rochester,D,Rep,HD-DE,38420440,173249,N00038414,Lisa_Blunt_Rochester,558891
18293,Anthony Brown,D,Rep,HD-MD-4,5017996,19344,N00036999,Anthony_Brown_(Maryland),195317
18294,Ted Budd,R,Rep,HD-NC-13,40620470,171489,N00039551,Ted_Budd,576530
18295,Salud Carbajal,D,Rep,HD-CA-24,39707235,81569,N00037015,Salud_Carbajal,460424
18296,Liz Cheney,R,Rep,HD-WY,15475560,171319,N00035504,Liz_Cheney,464230
18297,Luis Correa,D,Rep,HD-CA-46,6398747,9732,N00037260,Lou_Correa,193097
18298,Charlie Crist,D,Rep,HD-FL-13,1736080,24311,N00002942,Charlie_Crist,218595
18299,Val Demings,D,Rep,HD-FL-10,69035,137637,N00033449,Val_Demings,378538
18300,Neal Dunn,R,Rep,HD-FL-2,117671,166297,N00037442,Neal_Dunn,547694
18301,Adriano Espaillat,D,Rep,HD-NY-13,6512516,14379,N00034549,Adriano_Espaillat,197725
18302,John Faso,R,Rep,HD-NY-19,4553878,4311,N00037288,John_Faso,197754
18303,Drew Ferguson,R,Rep,HD-GA-3,7259444,168132,N00039090,Drew_Ferguson,603326
18304,Brian Fitzpatrick,R,Rep,HD-PA-8,39434649,167708,N00038779,Brian_Fitzpatrick,568624
18305,Matt Gaetz,R,Rep,HD-FL-1,12998496,117101,N00039503,Matt_Gaetz,286600
18306,Mike Gallagher,R,Rep,HD-WI-8,40609598,171843,N00039330,Mike_Gallagher_(New_York),577549
18307,Thomas Garrett,R,Rep,HD-VA-5,5733237,88891,N00038847,Thomas_Garrett,362382
18308,Vicente Gonzalez,D,Rep,HD-TX-15,17872003,166483,N00038809,Vicente_Gonzalez_Jr.,561764
18309,Josh Gottheimer,D,Rep,HD-NJ-5,39707518,169202,N00036944,Josh_Gottheimer,346665
18310,Clay Higgins,R,Rep,HD-LA-3,41316479,174484,N00039953,Clay_Higgins,588003
18311,Trey Hollingsworth,R,Rep,HD-IN-9,38300304,167423,N00038429,Trey_Hollingsworth,557042
18312,Pramila Jayapal,D,Rep,HD-WA-7,2644458,153141,N00038858,Pramila_Jayapal,499054
18313,Mike Johnson,R,Rep,HD-LA-4,19895272,156097,N00039106,Mike_Johnson_(Louisiana),527158
18314,Ro Khanna,D,Rep,HD-CA-17,373494,29473,N00026427,Ro_Khanna,281537
18315,Ruben Kihuen,D,Rep,HD-NV-4,6476722,66851,N00033530,Ruben_Kihuen,0
18316,Raja Krishnamoorthi,D,Rep,HD-IL-8,6265333,117519,N00033240,Raja_Krishnamoorthi,385662
18317,David Kustoff,R,Rep,HD-TN-8,9383528,48997,N00025445,David_Kustoff,570162
18318,Al Lawson,D,Rep,HD-FL-5,23377,24263,N00030642,Alfred_Lawson,193519
18319,Jason Lewis,R,Rep,HD-MN-2,40606506,171558,N00038400,Jason_Lewis_(Minnesota),555795
18320,Roger Marshall,R,Rep,HD-KS-1,8816503,172080,N00037034,Roger_Marshall,536160
18321,Brian Mast,R,Rep,HD-FL-18,32158682,166245,N00037269,Brian_Mast,541019
18322,Donald McEachin,D,Rep,HD-VA-4,5798194,8230,N00039327,Donald_McEachin,199496
18323,Paul Mitchell,R,Rep,HD-MI-10,79401,152464,N00036274,Paul_Mitchell,495790
18324,Stephanie Murphy,D,Rep,HD-FL-7,323583,173426,N00040133,Stephanie_Murphy,588810
18325,Tom O'Halleran,D,Rep,HD-AZ-1,12997748,28499,N00037515,Tom_O%27Halleran,205735
18326,Jimmy Panetta,D,Rep,HD-CA-20,35018515,169078,N00038601,Jimmy_Panetta,561057
18327,Jamie Raskin,D,Rep,HD-MD-8,1066956,65904,N00037036,Jamie_Raskin,248823
18328,Francis Rooney,R,Rep,HD-FL-19,1486745,172678,N00040007,Francis_Rooney,588424
18329,Jacky Rosen,D,Rep,SD-NV,39827617,169471,N00038734,Jacky_Rosen,567336
18330,John Rutherford,R,Rep,HD-FL-4,37039917,172542,N00039777,John_Rutherford_(Florida),581000
18331,Lloyd Smucker,R,Rep,HD-PA-16,5582657,102454,N00038781,Lloyd_Smucker,269658
18332,Darren Soto,D,Rep,HD-FL-9,198924,67618,N00037422,Darren_Soto,255376
18333,Thomas Suozzi,D,Rep,HD-NY-3,12996931,92111,N00038742,Tom_Suozzi,462663
18334,Scott Taylor,R,Rep,HD-VA-2,16700084,144514,N00031263,Scott_Taylor_(Virginia),0
18335,Claudia Tenney,R,Rep,HD-NY-22,4644381,127668,N00036351,Claudia_Tenney,216162
18411,Jenniffer Gonzalez-Colon,R,Rep,HD-PR,0,47514,N00037615,Jenniffer_Gonz%C3%A1lez-Col%C3%B3n,221612
18412,Kamala Harris,D,Sen,SD-CA,21642,120012,N00036915,Kamala_Harris,314474
18413,John Kennedy,R,Sen,SD-LA,13010864,35496,N00026823,John_Neely_Kennedy,240389
18485,Catherine Cortez Masto,D,Sen,SD-NV,13010255,69579,N00037161,Catherine_Cortez_Masto,252293
18486,Margaret Hassan,D,Sen,SD-NH,9693318,42552,N00038397,Maggie_Hassan,227982
19288,Luther Strange,R,Sen,SD-AL,6668575,121424,N00040607,Luther_Strange,289193
19370,Ron Estes,R,Rep,HD-KS-4,6691026,125031,N00040712,Ron_Estes_(U.S._House_representative),311777
19403,Greg Gianforte,R,Rep,HD-MT,7734214,168594,N00040733,Greg_Gianforte,574195
19406,Karen Handel,R,Rep,HD-GA-6,6805507,69553,N00035477,Karen_Handel,251780
19407,Ralph Norman,R,Rep,HD-SC-5,6126950,47930,N00027783,Ralph_Norman,227505
19409,Jimmy Gomez,D,Rep,HD-CA-34,13008707,138524,N00040597,Jimmy_Gomez,390070
19436,John Curtis,R,Rep,HD-UT-3,6444263,123390,N00041221,John_Curtis_(Utah),626323
19499,Tina Smith,D,Sen,SD-MN,4173995,152968,N00042353,Tina_Smith,332335
19529,Doug Jones,D,Sen,SD-AL,15183709,176464,N00024817,Doug_Jones_(Alabama),625255
19622,Cindy Hyde-Smith,R,Sen,SD-MS,6408036,20784,N00043298,Cindy_Hyde-Smith,196212
19626,Conor Lamb,D,Rep,HD-PA-18,44045038,177656,N00041870,Conor_Lamb,638992
19646,Debbie Lesko,R,Rep,HD-AZ-8,12997825,106483,N00042056,Debbie_Lesko,267627
19664,Michael Cloud,R,Rep,HD-TX-27,44045161,177350,N00041882,Michael_Cloud_(Texas),636744
19676,Troy Balderson,R,Rep,HD-OH-12,3499988,102781,N00042194,Troy_Balderson,271784
19692,Kevin Hern,R,Rep,HD-OK-1,44044988,180004,N00040829,Kevin_Hern,618789
19693,Joseph Morelle,D,Rep,HD-NY-25,5413103,145182,N00043207,Joseph_Morelle,197784
19694,Mary Gay Scanlon,D,Rep,HD-PA-5,44954452,178890,N00042706,Mary_Gay_Scanlon,655204
19700,Susan Wild,D,Rep,HD-PA-7,17853601,178895,N00041997,Susan_Wild,638609
19706,Brenda Jones,D,Rep,HD-MI-13,0,75766,N00042648,Brenda_Jones_(Michigan),654228
9285,Ann Kirkpatrick,D,Rep,HD-AZ-1,6459062,28425,N00029260,Ann_Kirkpatrick,227470
15208,Steven Horsford,D,Rep,HD-NV-4,13012984,44064,N00033638,Steven_Horsford,227658
20039,Colin Allred,D,Rep,HD-TX-32,44045171,177357,N00040989,Colin_Allred,623979
20040,Kelly Armstrong,R,Rep,HD-ND-1,11029961,139338,N00042868,Kelly_Armstrong,411641
20041,Cindy Axne,D,Rep,HD-IA-3,44044592,179226,N00041104,Cindy_Axne,627442
20042,James Baird,R,Rep,HD-IN-4,6682179,86013,N00041954,James_Baird,291484
20043,Anthony Brindisi,D,Rep,HD-NY-22,13009387,135258,N00041385,Anthony_Brindisi,359075
20044,Tim Burchett,R,Rep,HD-TN-2,6607163,24379,N00041594,Tim_Burchett,198970
20045,Ed Case,D,Rep,HD-HI-1,10085353,3422,N00025882,Ed_Case,193944
20046,Sean Casten,D,Rep,HD-IL-6,43471680,176982,N00041338,Sean_Casten,629120
20047,Ben Cline,R,Rep,HD-VA-6,6613874,50959,N00042296,Ben_Cline,212955
20048,Angela Craig,D,Rep,HD-MN-2,32141809,166261,N00037039,Angie_Craig,536254
20049,Dan Crenshaw,R,Rep,HD-TX-2,44449939,177270,N00042224,Daniel_Crenshaw,644108
20050,Jason Crow,D,Rep,HD-CO-6,44044490,180218,N00040876,Jason_Crow,621716
20051,Joe Cunningham,D,Rep,HD-SC-1,44045045,179601,N00041400,Joe_Cunningham,629803
20052,Gil Cisneros,D,Rep,HD-CA-39,17779260,179370,N00041464,Gil_Cisneros,631203
20053,TJ Cox,D,Rep,HD-CA-21,44932483,57197,N00028122,TJ_Cox,629652
20054,Sharice Davids,D,Rep,HD-KS-3,15561443,181201,N00042626,Sharice_Davids,655850
20055,Antonio Delgado,D,Rep,HD-NY-19,44044927,180313,N00040741,Antonio_Delgado_(New_York),617501
20056,Madeleine Dean,D,Rep,HD-PA-4,4701392,136484,N00042894,Madeleine_Dean,569358
20057,Veronica Escobar,D,Rep,HD-TX-16,44045126,99345,N00041702,Veronica_Escobar,634679
20058,Abby Finkenauer,D,Rep,HD-IA-1,21098123,151127,N00040888,Abby_Finkenauer,491276
20059,Elizabeth Fletcher,D,Rep,HD-TX-7,44045104,177031,N00041194,Lizzie_Pannill_Fletcher,625330
20060,Russ Fulcher,R,Rep,HD-ID-1,6668632,33091,N00041335,Russ_Fulcher,239426
20061,Jesus Garcia,D,Rep,HD-IL-4,28299070,6261,N00042114,Jesus_Garcia,645347
20062,Sylvia Garcia,D,Rep,HD-TX-29,16351467,49734,N00042282,Sylvia_Garcia,454041
20063,Anthony Gonzalez,R,Rep,HD-OH-16,44044985,178867,N00041690,Anthony_Gonzalez,634993
20064,Lance Gooden,R,Rep,HD-TX-5,6681277,116935,N00042237,Lance_Gooden,236203
20065,Mark Green,R,Rep,HD-TN-7,11030026,139030,N00041873,Mark_Green_(Tennessee),399479
20066,Michael Guest,R,Rep,HD-MS-3,16352053,179667,N00042458,Michael_Guest,651006
20067,Jared Golden,D,Rep,HD-ME-2,23424266,151420,N00041668,Jared_Golden,372438
20068,Debra Haaland,D,Rep,HD-NM-1,8997515,149368,N00040933,Debra_Haaland,491018
20069,Jahana Hayes,D,Rep,HD-CT-5,45681143,181744,N00043421,Jahana_Hayes,666101
20070,Kendra Horn,D,Rep,HD-OK-5,41922076,180018,N00041394,Kendra_Horn,629660
20071,Chrissy Houlahan,D,Rep,HD-PA-6,44045003,178893,N00040949,Chrissy_Houlahan,621721
20072,Katie Hill,D,Rep,HD-CA-25,44044404,179354,N00040644,Katie_Hill,618828
20073,James Hagedorn,R,Rep,HD-MN-1,24609149,146027,N00031390,Jim_Hagedorn,284731
20074,Josh Harder,D,Rep,HD-CA-10,43937863,179326,N00040853,Josh_Harder,624344
20075,Dusty Johnson,R,Rep,HD-SD-1,43398875,48307,N00040559,Dusty_Johnson,240544
20076,John Joyce,R,Rep,HD-PA-13,44955073,178911,N00043242,John_Joyce_(Pennsylvania),659206
20077,Andy Kim,D,Rep,HD-NJ-3,44044858,179640,N00041370,Andrew_Kim_(New_Jersey),628795
20078,Suzanne Lee,D,Rep,HD-NV-3,9713907,169344,N00037247,Susie_Lee,541030
20079,Elaine Luria,D,Rep,HD-VA-2,45301001,179677,N00042293,Elaine_Luria,644669
20080,Andy Levin,D,Rep,HD-MI-9,6479763,66287,N00042149,Andy_Levin,646744
20081,Mike Levin,D,Rep,HD-CA-49,44044456,179416,N00040667,Mike_Levin,617967
20082,Tom Malinowski,D,Rep,HD-NJ-7,44044869,179645,N00041843,Tom_Malinowski,495180
20083,Dan Meuser,R,Rep,HD-PA-9,4671601,102438,N00029416,Dan_Meuser,331999
20084,Carol Miller,R,Rep,HD-WV-3,6659422,52123,N00041542,Carol_Miller_(West_Virginia),249553
20085,Debbie Mucarsel-Powell,D,Rep,HD-FL-26,41609857,173449,N00041561,Debbie_Mucarsel-Powell,588900
20086,Lucy McBath,D,Rep,HD-GA-6,44893293,178538,N00042813,Lucy_McBath,658185
20087,Ben McAdams,D,Rep,HD-UT-4,6501982,117512,N00042013,Ben_McAdams,283501
20088,Joseph Neguse,D,Rep,HD-CO-2,23406914,151075,N00041080,Joe_Neguse,485964
20089,Alexandria Ocasio-Cortez,D,Rep,HD-NY-14,43884749,180416,N00041162,Alexandria_Ocasio-Cortez,624858
20090,Ilhan Omar,D,Rep,HD-MN-5,40606750,171628,N00043581,Ilhan_Omar,583510
20091,Christopher Pappas,D,Rep,HD-NH-1,6394987,42635,N00042161,Chris_Pappas,213040
20092,Gregory Pence,R,Rep,HD-IN-6,44044678,177876,N00041956,Greg_Pence,640272
20093,Dean Phillips,D,Rep,HD-MN-3,14700222,181357,N00041134,Dean_Phillips,626096
20094,Ayanna Pressley,D,Rep,HD-MA-7,45365104,122700,N00042581,Ayanna_Pressley,234321
20095,Katie Porter,D,Rep,HD-CA-45,44044441,179393,N00040865,Katie_Porter,621002
20096,Guy Reschenthaler,R,Rep,HD-PA-37,24650451,166004,N00041871,Guy_Reschenthaler,560660
20097,Denver Riggleman,R,Rep,HD-VA-5,37981574,181445,N00043541,Denver_Riggleman,613877
20098,John Rose,R,Rep,HD-TN-6,44045074,180452,N00041599,John_Rose_(Tennessee),632997
20099,Max Rose,D,Rep,HD-NY-11,44044919,180409,N00041588,Max_Rose,632434
20100,Chip Roy,R,Rep,HD-TX-21,44449969,177319,N00042268,Chip_Roy,223268
20101,Harley Rouda,D,Rep,HD-CA-48,43645647,179404,N00040666,Harley_Rouda,617606
20102,Donna Shalala,D,Rep,HD-FL-27,39547205,182301,N00042811,Donna_Shalala,658165
20103,Rebecca Sherrill,D,Rep,HD-NJ-11,43965079,179651,N00041154,Mikie_Sherrill,625260
20104,Elissa Slotkin,D,Rep,HD-MI-8,44044762,181080,N00041357,Elissa_Slotkin,261745
20105,Abigail Spanberger,D,Rep,HD-VA-7,44045205,179682,N00041418,Abigail_Spanberger,630216
20106,Ross Spano,R,Rep,HD-FL-15,13889263,142164,N00043319,Ross_Spano,425567
20107,Greg Stanton,D,Rep,HD-AZ-9,44044364,72030,N00041750,Greg_Stanton,638908
20108,Pete Stauber,R,Rep,HD-MN-8,44044791,159954,N00041511,Pete_Stauber,630211
20109,Bryan Steil,R,Rep,HD-WI-1,45356811,181289,N00043379,Bryan_Steil,664604
20110,Greg Steube,R,Rep,HD-FL-17,6692870,117248,N00042808,Greg_Steube,289471
20111,Haley Stevens,D,Rep,HD-MI-11,44044764,181092,N00040915,Haley_Stevens,623571
20112,Kim Schrier,D,Rep,HD-WA-8,44045231,181124,N00041606,Kim_Schrier,632874
20113,Nicholas Taylor,R,Rep,HD-TX-3,2375514,183369,N00027709,Nicholas_Taylor_(Texas),287415
20114,William Timmons,R,Rep,HD-SC-4,20742278,168923,N00042715,William_Timmons,575426
20115,Rashida Tlaib,D,Rep,HD-MI-13,13002117,105368,N00042649,Rashida_Tlaib,268236
20116,Lori Trahan,D,Rep,HD-MA-3,15875826,182310,N00041808,Lori_Trahan,636951
20117,David Trone,D,Rep,HD-MD-6,5631712,167336,N00039122,David_Trone,568351
20118,Xochitl Torres Small,D,Rep,HD-NM-2,9024230,177978,N00042467,Xochitl_Torres_Small,277948
20119,Lauren Underwood,D,Rep,HD-IL-14,44044644,177001,N00041569,Lauren_Underwood,601601
20120,Jeff Van Drew,D,Rep,HD-NJ-2,6389812,24685,N00042164,Jeff_Van_Drew,209970
20121,Michael Waltz,R,Rep,HD-FL-6,45399438,182261,N00042403,Michael_Waltz,652214
20122,Steve Watkins,R,Rep,HD-KS-2,45399292,181200,N00042126,Steve_Watkins,643123
20123,Jennifer Wexton,D,Rep,HD-VA-10,19907288,147013,N00041002,Jennifer_Wexton,484877
20124,Ron Wright,R,Rep,HD-TX-6,44105354,78666,N00042240,Ronald_Wright,206142
20125,Michael San Nicolas,D,Rep,HD-GU,0,185972,,Michael_F.Q._San_Nicolas,450531
20294,Mike Braun,R,Sen,SD-IN,21084493,148564,N00041731,Mike_Braun,484213
20295,Josh Hawley,R,Sen,SD-MO,16205449,169716,N00041620,Josh_Hawley,572072
20296,Mitt Romney,R,Sen,SD-UT,43351,21942,N00000286,Mitt_Romney,213247
